Designator,Mid X,Mid Y,Rotation,Layer
LED75,389.71015,-233.6692,0.0,top
LED76,413.52265,-233.6692,0.0,top
LED77,437.33515,-233.6692,0.0,top
LED78,149.2039,-238.4317,0.0,top
LED79,168.2539,-238.4317,0.0,top
LED8,315.8914,-133.6567,0.0,top
LED80,187.3039,-238.4317,0.0,top
LED81,289.6903,-228.9007,0.0,top
LED82,346.8367,-228.9007,0.0,top
LED9,344.4664,-133.6567,0.0,top
MX1,173.0164,-128.5767,0.0,top
MX10,363.5164,-128.5767,0.0,top
MX11,382.5664,-128.5767,0.0,top
MX12,401.6164,-128.5767,0.0,top
MX13,439.7164,-128.5767,0.0,top
MX14,149.2039,-152.3892,0.0,top
MX15,182.5414,-152.3892,0.0,top
MX16,211.1164,-152.3892,0.0,top
MX17,230.1664,-152.3892,0.0,top
MX18,249.2164,-152.3892,0.0,top
MX19,268.2664,-152.3892,0.0,top
MX2,192.0664,-128.5767,0.0,top
MX20,287.3164,-152.3892,0.0,top
MX21,306.3664,-152.3892,0.0,top
MX22,325.4164,-152.3892,0.0,top
MX23,344.4664,-152.3892,0.0,top
MX24,363.5164,-152.3892,0.0,top
MX25,382.5664,-152.3892,0.0,top
MX26,401.6164,-152.3892,0.0,top
MX27,420.6664,-152.3892,0.0,top
MX28,439.7164,-152.3892,0.0,top
MX29,149.2039,-171.4392,0.0,top
MX3,211.1164,-128.5767,0.0,top
MX30,177.7789,-171.4392,0.0,top
MX31,201.5914,-171.4392,0.0,top
MX32,220.6414,-171.4392,0.0,top
MX33,239.6914,-171.4392,0.0,top
MX34,258.7414,-171.4392,0.0,top
MX35,277.7914,-171.4392,0.0,top
MX36,296.8414,-171.4392,0.0,top
MX37,315.8914,-171.4392,0.0,top
MX38,334.9414,-171.4392,0.0,top
MX39,353.9914,-171.4392,0.0,top
MX4,230.1664,-128.5767,0.0,top
MX40,373.0414,-171.4392,0.0,top
MX41,392.0914,-171.4392,0.0,top
MX42,411.1414,-171.4392,0.0,top
MX43,434.9539,-171.4392,0.0,top
MX44,149.2039,-190.4892,0.0,top
MX45,184.92265,-190.4892,0.0,top
MX46,215.8789,-190.4892,0.0,top
MX47,234.9289,-190.4892,0.0,top
MX48,253.9789,-190.4892,0.0,top
MX49,273.0289,-190.4892,0.0,top
MX5,258.7414,-128.5767,0.0,top
MX50,292.0789,-190.4892,0.0,top
MX51,311.1289,-190.4892,0.0,top
MX52,330.1789,-190.4892,0.0,top
MX53,349.2289,-190.4892,0.0,top
MX54,368.2789,-190.4892,0.0,top
MX55,387.3289,-190.4892,0.0,top
MX56,406.3789,-190.4892,0.0,top
MX57,432.57265,-190.4892,0.0,top
MX58,199.21015,-209.5392,0.0,top
MX59,225.4039,-209.5392,0.0,top
MX6,277.7914,-128.5767,0.0,top
MX60,244.4539,-209.5392,0.0,top
MX61,263.5039,-209.5392,0.0,top
MX62,282.5539,-209.5392,0.0,top
MX63,301.6039,-209.5392,0.0,top
MX64,320.6539,-209.5392,0.0,top
MX65,339.7039,-209.5392,0.0,top
MX66,358.7539,-209.5392,0.0,top
MX67,377.8039,-209.5392,0.0,top
MX68,396.8539,-209.5392,0.0,top
MX69,427.81015,-209.5392,0.0,top
MX7,296.8414,-128.5767,0.0,top
MX70,168.2539,-214.3017,0.0,top
MX71,211.1164,-228.5892,0.0,top
MX72,230.1664,-228.5892,0.0,top
MX73,249.2164,-228.5892,0.0,top
MX74,318.27265,-228.5892,0.0,top
MX75,389.71015,-228.5892,0.0,top
MX76,413.52265,-228.5892,0.0,top
MX77,437.33515,-228.5892,0.0,top
MX78,149.2039,-233.3517,0.0,top
MX79,168.2539,-233.3517,0.0,top
MX8,315.8914,-128.5767,0.0,top
MX80,187.3039,-233.3517,0.0,top
MX9,344.4664,-128.5767,0.0,top
S1,182.5414,-153.25915,0.0,bottom
S2,184.92265,-191.35915,0.0,bottom
S3,427.81015,-210.40915,0.0,bottom
S4,318.27265,-229.22115,0.0,bottom
SW1,148.9436,-128.556,0.0,top
SW2,441.287,-140.8,90.0,top
U2,420.1741,-130.5762,0.0,bottom
